Term 1, CommitIndex -1, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 2, CommitIndex 0, VotedFor 0
Term 3, CommitIndex 0, VotedFor 0
Term 4, CommitIndex 0, VotedFor 0
Term 5, CommitIndex 0, VotedFor 0
Term 6, CommitIndex 0, VotedFor 0
Term 7, CommitIndex 0, VotedFor 0
Term 8, CommitIndex 0, VotedFor 0
Term 9, CommitIndex 0, VotedFor 0
Term 10, CommitIndex 0, VotedFor 0
Term 11, CommitIndex 0, VotedFor 0
Term 12, CommitIndex 0, VotedFor 0
Term 13, CommitIndex 0, VotedFor 0
Term 14, CommitIndex 0, VotedFor 0
Term 15, CommitIndex 0, VotedFor 0
Term 16, CommitIndex 0, VotedFor 0
Term 17, CommitIndex 0, VotedFor 0
Term 18, CommitIndex 0, VotedFor 0
Term 19, CommitIndex 0, VotedFor 0
Term 20, CommitIndex 0, VotedFor 0
Term 21, CommitIndex 0, VotedFor 0
Term 22, CommitIndex 0, VotedFor 0
Term 23, CommitIndex 0, VotedFor 0
Term 24, CommitIndex 0, VotedFor 0
Term 25, CommitIndex 0, VotedFor 0
Term 26, CommitIndex 0, VotedFor 0
Term 27, CommitIndex 0, VotedFor 0
Term 28, CommitIndex 0, VotedFor 0
Term 29, CommitIndex 0, VotedFor 0
Term 30, CommitIndex 0, VotedFor 0
Term 31, CommitIndex 0, VotedFor 0
Term 32, CommitIndex 0, VotedFor 0
Term 33, CommitIndex 0, VotedFor 0
Term 34, CommitIndex 0, VotedFor 0
Term 35, CommitIndex 0, VotedFor 0
Term 36, CommitIndex 0, VotedFor 0
Term 37, CommitIndex 0, VotedFor 0
Term 38, CommitIndex 0, VotedFor 0
Term 39, CommitIndex 0, VotedFor 0
Term 40, CommitIndex 0, VotedFor 0
Term 41, CommitIndex 0, VotedFor 0
Term 42, CommitIndex 0, VotedFor 0
Term 43, CommitIndex 0, VotedFor 0
Term 44, CommitIndex 0, VotedFor 0
Term 45, CommitIndex 0, VotedFor 0
Term 46, CommitIndex 0, VotedFor 0
Term 47, CommitIndex 0, VotedFor 0
Term 48, CommitIndex 0, VotedFor 0
Term 49, CommitIndex 0, VotedFor 0
Term 50, CommitIndex 0, VotedFor 0
Term 51, CommitIndex 0, VotedFor 0
Term 52, CommitIndex 0, VotedFor 0
Term 53, CommitIndex 0, VotedFor 0
Term 54, CommitIndex 0, VotedFor 0
Term 55, CommitIndex 0, VotedFor 0
Term 56, CommitIndex 0, VotedFor 0
Term 57, CommitIndex 0, VotedFor 0
Term 58, CommitIndex 0, VotedFor 0
Term 59, CommitIndex 0, VotedFor 0
Term 60, CommitIndex 0, VotedFor 0
Term 61, CommitIndex 0, VotedFor 0
Term 62, CommitIndex 0, VotedFor 0
Term 63, CommitIndex 0, VotedFor 0
Term 64, CommitIndex 0, VotedFor 0
Term 65, CommitIndex 0, VotedFor 0
Term 66, CommitIndex 0, VotedFor 0
Term 67, CommitIndex 0, VotedFor 0
Term 68, CommitIndex 0, VotedFor 0
Term 69, CommitIndex 0, VotedFor 0
Term 70, CommitIndex 0, VotedFor 0
Term 71, CommitIndex 0, VotedFor 0
Term 72, CommitIndex 0, VotedFor 0
Term 73, CommitIndex 0, VotedFor 0
Term 74, CommitIndex 0, VotedFor 0
Term 75, CommitIndex 0, VotedFor 0
Term 76, CommitIndex 0, VotedFor 0
Term 77, CommitIndex 0, VotedFor 0
Term 78, CommitIndex 0, VotedFor 0
Term 79, CommitIndex 0, VotedFor 0
Term 80, CommitIndex 0, VotedFor 0
Term 81, CommitIndex 0, VotedFor 0
Term 82, CommitIndex 0, VotedFor 0
Term 83, CommitIndex 0, VotedFor 0
Term 84, CommitIndex 0, VotedFor 0
Term 85, CommitIndex 0, VotedFor 0
Term 86, CommitIndex 0, VotedFor 0
Term 87, CommitIndex 0, VotedFor 0
Term 88, CommitIndex 0, VotedFor 0
Term 89, CommitIndex 0, VotedFor 0
Term 90, CommitIndex 0, VotedFor 0
Term 91, CommitIndex 0, VotedFor 0
Term 92, CommitIndex 0, VotedFor 0
Term 93, CommitIndex 0, VotedFor 0
Term 94, CommitIndex 0, VotedFor 0
Term 95, CommitIndex 0, VotedFor 0
Term 96, CommitIndex 0, VotedFor 0
Term 96, CommitIndex 2, VotedFor 0
Term 96, CommitIndex 2, VotedFor 0
Term 96, CommitIndex 2, VotedFor 0
Term 96, CommitIndex 2, VotedFor 0
Term 96, CommitIndex 2, VotedFor 0
Term 96, CommitIndex 2, VotedFor 0
Term 96, CommitIndex 2, VotedFor 0
Term 96, CommitIndex 2, VotedFor 0
Term 96, CommitIndex 2, VotedFor 0
Term 96, CommitIndex 2, VotedFor 0
Term 96, CommitIndex 2, VotedFor 0
Term 97, CommitIndex 3, VotedFor None
Term 97, CommitIndex 3, VotedFor None
Term 97, CommitIndex 3, VotedFor None
Term 97, CommitIndex 3, VotedFor None
Term 97, CommitIndex 3, VotedFor None
Term 97, CommitIndex 3, VotedFor None
Term 97, CommitIndex 3, VotedFor None
Term 97, CommitIndex 3, VotedFor None
Term 97, CommitIndex 3, VotedFor None
Term 97, CommitIndex 3, VotedFor None
Term 97, CommitIndex 3, VotedFor None
Term 97, CommitIndex 3, VotedFor None
Term 97, CommitIndex 3, VotedFor None
Term 97, CommitIndex 3, VotedFor None
Term 97, CommitIndex 3, VotedFor None
Term 98, CommitIndex 3, VotedFor 1
Term 98, CommitIndex 4, VotedFor 1
Term 98, CommitIndex 4, VotedFor 1
Term 98, CommitIndex 4, VotedFor 1
Term 98, CommitIndex 4, VotedFor 1
Term 98, CommitIndex 4, VotedFor 1
Term 98, CommitIndex 4, VotedFor 1
Term 98, CommitIndex 4, VotedFor 1
Term 98, CommitIndex 4, VotedFor 1
Term 98, CommitIndex 4, VotedFor 1
Term 98, CommitIndex 4, VotedFor 1
Term 99, CommitIndex 4, VotedFor 2
Term 99, CommitIndex 5, VotedFor 2
